family,variable,domain,citation,doi,year,population,sample_size_raw,sample_size_n,direction,direction_sign,effect_size_raw,effect_value,effect_type,p_value_raw,p_value_num,p_op,p_source,parsed_effect,parsed_p
poincare,"sd1, sd2, sd2_sd1",meditation,Ghatak SK. 'Effect of Meditation on Heart Rate Variability.' arXiv:2107.08644 [physics.med-ph]. 2021.,,2021,"disciples of the Ramakrishna Mission (RKM), meditation practitioners",not specified in abstract,,"up (magnitude of slope/curvature of the SD1/SD2 relationship vs lag number increases after meditation, described as significant nonlinear change)",1,not reported numerically in abstract,,,not reported in abstract,,,,False,False
poincare,"sd2_sd1, sd1_sd2_area",meditation,"Goshvarpour A, Goshvarpour A. 'Poincare's indices for analyzing meditative heart rate signals.' Biomed J. 2015;38(3):229-234. doi:10.4103/2319-4170.143528",,2015,"Chi (qigong) meditators, PhysioNet database recordings",n=8,,SD1/SD2 ratio increased during meditation vs baseline (most pronounced at lag-6); total Poincaré plot area decreased during meditation at both lag-1 and lag-6,1,not reported numerically beyond direction,,,p<0.05 for both the SD1/SD2 ratio increase and the area decrease,0.05,<,pfield,False,True
poincare,"sd1, sd2, sd2_sd1",meditation,"Lo PC, Tsai PH, Kang HJ, Wu Jue Miao Tian. 'Cardiorespiratory and autonomic-nervous-system functioning of drug abusers treated by Zen meditation.' J Tradit Complement Med. 2019;9(3):215-220. doi:10.1016/j.jtcme.2018.01.005",,2019,male drug abusers in rehabilitation practicing abdominal-respiration Zen meditation (including one heart-transplant recipient),n=18,18,"up (SD1, SD2, and SD2/SD1 all increased from pre-meditation rest to during-meditation session)",1,SD1 +14.7% (25.07→28.77 ms); SD2 +19.8% (46.23→55.37 ms); SD2/SD1 +8.8% (2.82→3.07),14.7,pct,SD1 p=0.039; SD2 p=0.002; SD2/SD1 p not reported,0.039,=,pfield,True,True
geometric_index,HRV triangular index (HTI),clinical,"Odemuyiwa O, Kearney M, Wathen M, et al. Comparison of the predictive characteristics of heart rate variability index and left ventricular ejection fraction for all-cause mortality, arrhythmic events and sudden death after acute myocardial infarction. Am J Cardiol. 1991;68(5):434-439.",10.1016/0002-9149(91)90774-f,1991,Survivors of acute myocardial infarction,385,385,down (lower HTI predicts higher mortality/arrhythmic risk),-1,not fully retrievable from abstract search (paywalled); reported as comparable predictive power to LVEF for all-cause mortality and superior for arrhythmic events/sudden death,,,not retrieved,,,,False,False
geometric_index,"HRV triangular index (HTI), cutoff <14.29",clinical,Heart Rate Variability Triangular Index as a Predictor of Cardiovascular Mortality in Patients With Atrial Fibrillation. J Am Heart Assoc. 2020.,10.1161/JAHA.120.016075,2020,"Swiss Atrial Fibrillation (Swiss-AF) Cohort Study, patients in sinus rhythm or AF",1922,1922,down (HTI below cutoff predicts higher mortality),-1,HR 1.7 (95% CI 1.1-2.6) cardiovascular death; HR 1.42 (95% CI 1.02-1.98) all-cause death,1.7,HR,P=0.01 (CV death); P=0.04 (all-cause death),0.01,=,pfield,True,True
geometric_index,"HRV triangular index (HTI), quartiles (Q1 <=18.245 ... Q4 >=34.308, median 26.3)",clinical,"Braunisch MC, et al. U-Shaped Association of the Heart Rate Variability Triangular Index and Mortality in Hemodialysis Patients With Atrial Fibrillation. Front Cardiovasc Med. 2021;8:751052.",10.3389/fcvm.2021.751052,2021,"Hemodialysis patients with atrial fibrillation or AF history, median age 76.4y",88,88,"U-shaped (both very low and very high HTI predict worse outcomes, not monotonic 'down')",0,"HR 6.2 (95% CI 2.1-17.7) outer vs inner quartiles, cardiovascular mortality; HR 2.2 (95% CI 1.3-3.8) all-cause mortality",6.2,HR,P=0.001 (CV mortality); P=0.002 (all-cause mortality),0.001,=,pfield,True,True
geometric_index,RRTri (triangular index) and TINN,clinical,"Silva AKF, Christofaro DGD, Bernardo AFB, Vanderlei FM, Vanderlei LCM. Sensitivity, Specificity and Predictive Value of Heart Rate Variability Indices in Type 1 Diabetes Mellitus. Arq Bras Cardiol. 2017;108(3):255-262.",10.5935/abc.20170024,2017,Type 1 diabetes mellitus patients (18-30y) vs healthy controls,"88 (39 T1DM, 43 controls)",88,down (both RRTri and TINN reduced in T1DM vs controls),-1,"RRTri: sensitivity 0.69 [0.52-0.83], specificity 0.76 [0.61-0.88], AUC 0.76 [0.65-0.85]; TINN: sensitivity 0.53 [0.37-0.69], specificity 0.79 [0.64-0.90], AUC 0.63 [0.52-0.74]",0.76,AUC,"P=0.019 (RRTri, T1DM vs control); P<0.05 across most indices",0.019,=,pfield,True,True
geometric_index,HRV triangular index (HRVI),sports,"Kouidi E, Haritonidis K, Koutlianos N, Deligiannis A. Effects of athletic training on heart rate variability triangular index. Clin Physiol Funct Imaging. 2002;22(4):279-284.",10.1046/j.1475-097x.2002.00431.x,2002,"60 healthy males, 22.1+/-3.5y: 15 long-distance runners, 15 speed runners, 15 throwers, 15 non-trained controls",60,60,up (higher HRVI with endurance training status),1,Long-distance runners 62.2+/-9.6; speed runners 52.7+/-6.0; throwers 44.5+/-5.3; non-trained controls 39.3+/-6.4 (group means +/- SD),,,"P<0.05 for groups A (endurance), B (speed), C (throwers) vs D (control)",0.05,<,pfield,False,True
geometric_index,RRtri and TINN,sports,"Vanzella LM, Dagostinho DBB, de Figueiredo MPF, et al. Periodized Aerobic Interval Training Modifies Geometric Indices of Heart Rate Variability in Metabolic Syndrome. Medicina (Kaunas). 2019;55(9):532.",10.3390/medicina55090532,2019,"52 adults (26 training, 26 control) with metabolic syndrome, 40-60y",52,52,up (training group increased vs control) for RRtri; TINN also trended up but non-significant,1,RRtri change: training +1.41+/-0.57 vs control -1.25+/-0.58; TINN change: training +25.52+/-17.03 vs control -4.05+/-17.38,,,"P<0.05 (RRtri); P=0.24 (TINN, not significant)",0.05,<,pfield,False,True
geometric_index,"SDNN, SDNN index, pNN50, RMSSD (HTI/TINN NOT reported)",sports,"Kiss O, Sydo N, Vargha P, et al. Detailed heart rate variability analysis in athletes. Clin Auton Res. 2016;26(4):245-252.",10.1007/s10286-016-0360-z,2016,"138 elite/masters athletes (canoeists, kayakers, cyclists, runners) vs 100 healthy non-athletic controls","238 (138 athletes, 100 controls)",238,up (athletes show greater HRV across all reported time-domain indices),1,SDNN 225.3 vs 158.6 ms; SDNN index 99.6 vs 72.4 ms; pNN50 24.2% vs 14.4%; RMSSD 71.8 vs 50.8 ms (athletes vs controls),,,P<0.001 for all reported parameters,0.001,<,pfield,False,True
lfhf,LF,clinical,"Wu Q, Miao X, Cao Y, Chi A, Xiao T (2023). Front Public Health 11:1243213.",10.3389/fpubh.2023.1243213,2023,adult major depressive disorder patients vs healthy controls,2359 depressed / 3547 controls (43 studies),2359,down (LF lower in depression),-1,"Hedges g = -0.34, 95% CI -0.55 to -0.13",-0.34,g,0.002,,,,True,False
lfhf,hf,clinical,"Wu Q, Miao X, Cao Y, Chi A, Xiao T (2023). Front Public Health 11:1243213.",10.3389/fpubh.2023.1243213,2023,adult major depressive disorder patients vs healthy controls,2359 depressed / 3547 controls (43 studies),2359,down (HF lower in depression),-1,"Hedges g = -0.51, 95% CI -0.69 to -0.33",-0.51,g,<0.001,,,,True,False
lfhf,lf_hf_ratio,clinical,"Wu Q, Miao X, Cao Y, Chi A, Xiao T (2023). Front Public Health 11:1243213.",10.3389/fpubh.2023.1243213,2023,adult major depressive disorder patients vs healthy controls,2359 depressed / 3547 controls (43 studies),2359,none (non-significant),0,"Hedges g = -0.05, 95% CI -0.27 to 0.18",-0.05,g,0.682,,,,True,False
lfhf,hf,clinical,"Chalmers JA, Quintana DS, Abbott MJA, Kemp AH (2014). Front Psychiatry 5:80.",10.3389/fpsyt.2014.00080,2014,"anxiety disorder patients (GAD, panic, PTSD, social anxiety, OCD) vs healthy controls",2086 patients / 2294 controls (36 studies),2086,down (HF lower in anxiety disorders),-1,"Hedges g = -0.29, 95% CI -0.41 to -0.17",-0.29,g,<0.001,,,,True,False
lfhf,lf,clinical,"Chalmers JA, Quintana DS, Abbott MJA, Kemp AH (2014). Front Psychiatry 5:80.",10.3389/fpsyt.2014.00080,2014,anxiety disorder patients vs healthy controls,2086 patients / 2294 controls (36 studies),2086,none (non-significant),0,"Hedges g = -0.08, 95% CI -0.31 to 0.15",-0.08,g,0.49,,,,True,False
lfhf,hf,clinical,"Chalmers JA, Quintana DS, Abbott MJA, Kemp AH (2014). Front Psychiatry 5:80.",10.3389/fpsyt.2014.00080,2014,generalized anxiety disorder subgroup vs controls,n=68,68,down,-1,Hedges g = -0.56,-0.56,g,<0.001,,,,True,False
lfhf,lf,clinical,"Benichou T, Pereira B, Mermillod M, et al. (2018). PLoS One 13(4):e0195166.",10.1371/journal.pone.0195166,2018,type 2 diabetes mellitus patients vs healthy controls,1356 T2DM / 1576 controls (25 case-control studies),1356,down,-1,"SMD = -1.08, 95% CI -1.46 to -0.69",-1.08,SMD,<0.001,,,,True,False
lfhf,hf,clinical,"Benichou T, Pereira B, Mermillod M, et al. (2018). PLoS One 13(4):e0195166.",10.1371/journal.pone.0195166,2018,type 2 diabetes mellitus patients vs healthy controls,1356 T2DM / 1576 controls,1356,down,-1,"SMD = -0.79, 95% CI -1.09 to -0.50",-0.79,SMD,<0.001,,,,True,False
lfhf,tp,clinical,"Benichou T, Pereira B, Mermillod M, et al. (2018). PLoS One 13(4):e0195166.",10.1371/journal.pone.0195166,2018,type 2 diabetes mellitus patients vs healthy controls,1356 T2DM / 1576 controls,1356,down,-1,"SMD = -1.52, 95% CI -2.13 to -0.91",-1.52,SMD,<0.001,,,,True,False
lfhf,lf_hf_ratio,clinical,"Benichou T, Pereira B, Mermillod M, et al. (2018). PLoS One 13(4):e0195166.",10.1371/journal.pone.0195166,2018,type 2 diabetes mellitus patients vs healthy controls,1356 T2DM / 1576 controls,1356,none (non-significant),0,"SMD = 0.02, 95% CI -0.38 to 0.43",0.02,SMD,0.914,,,,True,False
lfhf,tp,clinical,"Rueda-Ochoa OL, Osorio-Romero LF, Sanchez-Mendez LD (2024). J Electrocardiol 84:42-48.",10.1016/j.jelectrocard.2024.03.006,2024,"post-acute myocardial infarction patients, prospective/observational cohorts",27 studies pooled (individual N not extracted from abstract),27,down (low TP predicts higher mortality),-1,significant association with cardiac and total mortality (pooled RR not isolated for TP alone in abstract; SDNN RR=4.19 [3.36-5.22] for cardiac mortality was the strongest single index),4.19,RR,"significant (p<0.05, exact value not isolated per index in abstract)",0.05,<,pfield,True,True
lfhf,lf_hf_ratio,clinical,"Rueda-Ochoa OL, Osorio-Romero LF, Sanchez-Mendez LD (2024). J Electrocardiol 84:42-48.",10.1016/j.jelectrocard.2024.03.006,2024,post-acute myocardial infarction patients,27 studies pooled,27,down (low LF/HF predicts higher mortality),-1,significant association with cardiac and total mortality (pooled RR not isolated for LF/HF alone in abstract),,,"significant (p<0.05, exact value not isolated per index in abstract)",0.05,<,pfield,False,True
lfhf,tp,clinical,"Escorihuela RM, Capdevila L, Ramos-Castro J, Zaragozà MC, Maurel S, Alegre J, Castro-Marrero J (2020). Reduced heart rate variability predicts fatigue severity in individuals with chronic fatigue syndrome/myalgic encephalomyelitis. J Transl Med 18:4. doi:10.1186/s12967-019-02184-z",10.1186/s12967-019-02184-z,2020,female CFS/ME patients vs age/sex-matched healthy controls,45 patients / 25 controls,45,down (lower total power associated with greater fatigue),-1,"r = -0.70 (correlation between total HRV power and fatigue rating, after outlier removal)",-0.7,r,0.02,,,,True,False
lfhf,hf,sports,"Pichot V, Roche F, Gaspoz JM, Enjolras F, Antoniadis A, Minini P, Costes F, Busso T, Lacour JR, Barthélémy JC (2000). Relation between heart rate variability and training load in middle-distance runners. Med Sci Sports Exerc 32(10):1729-1736.",10.1097/00005768-200010000-00011,2000,7 competitive middle-distance runners across a 3-week heavy training block + recovery week,n=7 (within-subject longitudinal),,down (parasympathetic/HF index decreased with heavy training),-1,decrease up to 41% during heavy training; increase 46% during recovery,41.0,pct,<0.05,,,,True,False
lfhf,lf,sports,"Pichot V, et al. (2000). Med Sci Sports Exerc 32(10):1729-1736.",10.1097/00005768-200010000-00011,2000,7 competitive middle-distance runners,n=7,,up (sympathetic/LF index increased with heavy training),1,increase up to 31% during heavy training; decrease 24% during recovery,31.0,pct,<0.05,,,,True,False
lfhf,lf_hf_ratio,sports,"Saboul D, Pialoux V, Hautier C (2014). The breathing effect of the LF/HF ratio in the heart rate variability measurements of athletes. Eur J Sport Sci 14(sup1):S282-S288.",10.1080/17461391.2012.691116,2014,"15 male athletes (French sports research center), spontaneous vs controlled breathing",n=15,15,"up (LF/HF strongly and inversely driven by lower breathing frequency, not training status)",1,low-breathing-frequency subgroup LF/HF = 6.82±4.55 vs 0.72±0.52 in higher-breathing-frequency subgroup; correlation of breathing frequency with LF/HF r=-0.69,-0.69,r,group difference p<0.001; correlation p=0.004,0.001,<,pfield,True,True
lfhf,lf,sports,"Uusitalo AL, Uusitalo AJ, Rusko HK (1998/2000 series on female endurance athletes and overload).",,1998-2000,female endurance athletes; ~9 athletes increased training volume 100-125% over 6-9 weeks vs matched controls,n≈5-9 per group,,"up (higher supine LF, interpreted as increased sympathetic modulation, in overloaded/underperforming athletes)",1,,,,,,,,False,False
lfhf,lf_hf_ratio,meditation,"Rådmark L, Sidorchuk A, Osika W, Niemi M (2019). J Clin Med 8(10):1638.",10.3390/jcm8101638,2019,"adults undergoing mindfulness-based interventions (breast cancer, stress-related complaints, heart palpitations, social anxiety disorder) vs control, pooled across 4 RCTs","n=141 (32+85+20+38 across 4 trials: Lee 2017, Nyklíček 2013, Owens 2016, Faucher 2016)",141,"none (non-significant, low heterogeneity I²=0%)",0,"Hedges g = 0.21, 95% CI -0.26 to 0.67",0.21,g,0.38,,,,True,False
lfhf,hf,meditation,"Kirk U, Axelsen JL (2020). Heart rate variability is enhanced during mindfulness practice: A randomized controlled trial involving a 10-day online-based mindfulness intervention. PLoS One 15(12):e0243488.",10.1371/journal.pone.0243488,2020,"healthy adults randomized to mindfulness, music-listening, or no-intervention control",n=90 (30 per arm),90,"none (non-significant group x time interaction, daytime)",0,"F(2,84) = 1.23",,,0.37,,,,False,False
lfhf,lf_hf_ratio,meditation,"Kirk U, Axelsen JL (2020). PLoS One 15(12):e0243488.",10.1371/journal.pone.0243488,2020,"healthy adults, mindfulness vs music vs control",n=90,90,"none (non-significant group x time interaction, daytime)",0,"F(2,84) = 1.42",,,0.24,,,,False,False
lfhf,hf,meditation,"Krygier JR, Heathers JAJ, Shahrestani S, Abbott M, Gross JJ, Kemp AH (2013). Mindfulness meditation, well-being, and heart rate variability: A preliminary investigation into the impact of intensive Vipassana meditation. Int J Psychophysiol 89(3):305-313.",10.1016/j.ijpsycho.2013.06.017,2013,"meditation retreat participants, pre/post 10-day intensive Vipassana retreat, resting baseline vs meditation task",n=36,36,"up (normalized HF increased during meditation task, more so post-retreat)",1,,,,,,,,False,False
ulf_vlf,ULF power (cut-point <8 ms^2),clinical,"Harris PRE, Stein PK, Fung GL, Drew BJ (2014). Heart rate variability measured early in patients with evolving acute coronary syndrome and 1-year outcomes of rehospitalization and mortality. Vascular Health and Risk Management 10:451-464.",10.2147/VHRM.S57524,2014,"Acute coronary syndrome patients, emergency-department presentation, 24-h Holter","n=193 (17 deaths, 8.8%)",193,down (lower ULF) -> higher mortality,-1,HR=3.8 (95% CI 1.5-10.1); combined with troponin>0.3 ng/mL identified 14/17 nonsurvivors,3.8,HR,0.007,,,,True,False
ulf_vlf,VLF power,clinical,"Hadase M, et al. (2004). Very low frequency power of heart rate variability is a powerful predictor of clinical prognosis in patients with congestive heart failure. Circulation Journal 68(4):343-347.",10.1253/circj.68.343,2004,Consecutive CHF patients with emergency admission for pulmonary-congestion exacerbation,"n=54 (7 deaths, 11 rehospitalizations during mean 19.8+/-11.7 month follow-up)",54,down (lower VLF) -> higher cardiovascular event/mortality risk,-1,reported as independent risk predictor (specific HR not extracted from abstract),,,not extracted,,,,False,False
ulf_vlf,"'Low-frequency' power as defined in this paper (0.01-0.04 Hz band, i.e. overlapping what later Task Force nomenclature calls VLF)",clinical,"Tsuji H, Venditti FJ Jr, Manders ES, Evans JC, Larson MG, Feldman CL, Levy D (1994). Reduced heart rate variability and mortality risk in an elderly cohort. The Framingham Heart Study. Circulation 90(2):878-883.",10.1161/01.CIR.90.2.878,1994,"Community-dwelling elderly, Framingham Heart Study cohort, mean age 72+/-6",n=736 (74 deaths over 4-year follow-up),736,down -> higher all-cause mortality,0,HR=1.70 per 1-SD decrement in ln-power,1.7,HR,95% CI 1.37-2.09 (implies p<0.001),0.001,<,pfield,True,True
ulf_vlf,VLF and other frequency-domain HRV measures,clinical,"Tsuji H, Larson MG, Venditti FJ Jr, Manders ES, Evans JC, Feldman CL, Levy D (1996). Impact of reduced heart rate variability on risk for cardiac events. The Framingham Heart Study. Circulation 94(11):2850-2855.",10.1161/01.CIR.94.11.2850,1996,Framingham cohort free of clinical CHD/CHF at baseline,n=2501 (58 incident cardiac events over mean 3.5-year follow-up),2501,"down -> higher incidence of new cardiac events (angina, MI, CHD death, CHF)",0,"not fully extracted (proportional-hazards regression, multiple frequency measures)",,,not extracted,,,,False,False
ulf_vlf,"ULF+VLF combined high-risk classification, contrasted with power-law regression parameters",clinical,"Bigger JT Jr, Steinman RC, Rolnitzky LM, Fleiss JL, Albrecht P, Cohen RJ (1996). Power law behavior of RR-interval variability in healthy middle-aged persons, patients with recent acute myocardial infarction, and patients with heart transplants. Circulation 93(12):2142-2151.",10.1161/01.cir.93.12.2142,1996,Post-acute-MI patients (Cardiac Arrhythmia Pilot Study / Columbia cohort),not fully extracted from abstract search,,down (high-risk classification) -> higher mortality,-1,"RR=4.85 (unadjusted) / RR=2.98 (adjusted for age, NYHA class, LVEF, VPC frequency), p<0.001; power-law joint parameter RR=6.07 (adjusted), p<0.001, i.e. numerically stronger than the ULF/VLF-based classifier",4.85,RR,<0.001 (both),0.001,<,effect,True,True
ulf_vlf,Cross-comparison of HRV indices incl. frequency-domain vs time-domain,clinical,"Rueda-Ochoa OL, Osorio-Romero LF, Sanchez-Mendez LD (2024). Which indices of heart rate variability are the best predictors of mortality after acute myocardial infarction? Meta-analysis of observational studies. Journal of Electrocardiology 84:42-48.",10.1016/j.jelectrocard.2024.03.006,2024,Pooled post-MI cohorts (meta-analysis),multiple pooled studies (exact k and n not extracted),,"time-domain (SDNN, HRV triangular index) outperformed frequency-domain incl. VLF/ULF as mortality predictors",0,"sensitivity-analysis ranking, no single pooled HR extracted for VLF/ULF specifically",,,not extracted,,,,False,False
ulf_vlf,VLF power (high-risk cut-point <5.75 ln(ms^2)),clinical,"Yuda E, Ueda N, Kisohara M, Hayano J (2021). Redundancy among risk predictors derived from heart rate variability and dynamics: ALLSTAR big data analysis. Annals of Noninvasive Electrocardiology 26(1):e12790.",10.1111/anec.12790,2021,"Mixed clinical/general 24-h ECG registry (ALLSTAR database), mean age 65+/-16","n=265,291 recordings (116,554 male, 148,737 female)",265291,VLF classified as high-risk in 5.89% of recordings; strongly correlated with SDNN (r=0.71) and other risk indices,0,R^2=0.586 when VLF regressed on other HRV/dynamics predictors (highest redundancy of indices tested); combined high-risk clustering 32.31x expected under independence,0.586,r2,not extracted,,,,True,False
ulf_vlf,ULF power (ms^2/Hz),sports,"Serrador JM, Finlayson HC, Hughson RL (1999). Physical activity is a major contributor to the ultra low frequency components of heart rate variability. Heart 82(6):e9.",10.1136/hrt.82.6.e9,1999,"Healthy young adults, ambulatory 24-h monitoring with EMG","n=10 (5 men, 5 women)",10,up (physical activity increases ULF power),1,Men: active 6187+/-1801 vs rest 410+/-89 ms^2/Hz; Women: active 4056+/-1161 vs rest 2094+/-801 ms^2/Hz,,,<0.01,,,,False,False
ulf_vlf,ULF and VLF power,sports,"Hunt KJ, Saengsuwan J (2018). Changes in heart rate variability with respect to exercise intensity and time during treadmill running. BioMedical Engineering OnLine 17:128.",10.1186/s12938-018-0561-x,2018,"Healthy males, treadmill running at rest/moderate/vigorous intensity",n=15 (of 21 enrolled),15,down (both bands fall with increasing exercise intensity),-1,"significant pairwise decreases rest>moderate, rest>vigorous, moderate>vigorous for both ULF and VLF",,,<0.001 (all pairwise comparisons),,,,False,False
ulf_vlf,"Night HRV parameters incl. LF/HF, HF(nu) (VLF-specific values not confirmed in secondary sources)",sports,"Bosquet L, Papelier Y, Leger L, Legros P (2003). Night heart rate variability during overtraining in male endurance athletes. Journal of Sports Medicine and Physical Fitness 43(4):506-512.",,2003,"Experienced male endurance athletes, experimentally overtrained (100% training-volume increase over 4 weeks)",n=9 (6 diagnosed overtrained),,no significant change across baseline/overtraining/recovery,0,e.g. HR 56+/-12 vs 55+/-10 vs 53+/-15 bpm; LF/HF 1.10+/-0.92 vs 0.96+/-0.57 vs 0.59+/-0.43,,,>0.05 (all reported comparisons),,,,False,False
ulf_vlf,VLF power as predictor in multivariate VO2max regression model,sports,"Leon-Ariza HH, Botero-Rosas DA, Zea-Robles AC (2017). Heart rate variability and body composition as VO2max determinants. Revista Brasileira de Medicina do Esporte 23(4):317-324.",10.1590/1517-869220172304152157,2017,Sedentary young adults,"n=20 (10 men, 10 women)",20,"mixed/sex-reversed (up in women, down in men, non-significant in men)",0,Women: beta=+1.949 (p=0.01); Men: beta=-0.649 (p=0.18); model R^2=0.987 (women) / 0.965 (men),0.987,r2,"0.01 (women, significant); 0.18 (men, n.s.)",0.01,=,effect,True,True
ulf_vlf,Heart-rate oscillations in the 0.025-0.35 Hz band (spans VLF into LF/HF),meditation,"Peng CK, Mietus JE, Liu Y, et al. (1999). Exaggerated heart rate oscillations during two meditation techniques. International Journal of Cardiology 70(2):101-107.",10.1016/S0167-5273(99)00066-2,1999,Experienced Chi and Kundalini-yoga meditation practitioners; healthy control group during paced breathing,"Chi group n=8 (approx.; two time-series per subject); Kundalini group n not confirmed; control n=14 (9 women, 5 men)",14,"up (exaggerated, intermittent very-prominent oscillations during meditation, tied to slow breathing)",1,heart rate varied 30-35 bpm within 5 sec in some subjects during meditation,,,"not extracted (descriptive/spectral analysis, not a formal hypothesis test in the extracted summary)",,,,False,False
ulf_vlf,Normalized VLF power (nVLFP) and residual VLF power (rVLFP),meditation,"Leonard A, Clement S, Kuo CD, Manto M (2019). Changes in heart rate variability during heartfulness meditation: A power spectral analysis including the residual spectrum. Frontiers in Cardiovascular Medicine 6:62.",10.3389/fcvm.2019.00062,2019,Long-term Heartfulness meditation practitioners (mean 13.1+/-7.4 years practice),"n=26 (17 women, 9 men; mean age 50.5+/-8.6)",26,"no change (nVLFP) / down (rVLFP, vs. paced-breathing control)",0,"rVLFP median: rest 0.028, deep meditation 0.033, end meditation 0.020, control 0.047",,,"<0.001 (rVLFP, end-meditation vs control; Friedman test with Wilcoxon post-hoc)",,,,False,False
apen_sampen,ApEn (nighttime HRV),clinical,"Beckers F, Ramaekers D, Aubert AE (2001). 'Approximate Entropy of Heart Rate Variability: Validation of Methods and Application in Heart Failure.' Cardiovascular Engineering 1(4):177-182.",10.1023/A:1015212328405,2001,End-stage congestive heart failure patients vs healthy controls,N=21 CHF vs N=21 healthy,21,"up (ApEn higher/more erratic in CHF vs healthy, especially at night)",1,not reported as standardized effect size in available abstract,,,not extracted from available abstract,,,,False,False
apen_sampen,ApEn (LF and HF components of 24h HRV),clinical,"Li X, Yu S, Chen H, Lu C, Zhang K, Li F (2014). 'Cardiovascular autonomic function analysis using approximate entropy from 24-h heart rate variability and its frequency components in patients with type 2 diabetes.' Journal of Diabetes Investigation.",10.1111/jdi.12270,2014,Type 2 diabetes patients vs healthy controls,N=63 T2D vs N=29 healthy,63,down (ApEn lower in T2D vs healthy for both LF and HF components; total 24h ApEn not significant),-1,not reported as Cohen's d,,,LF-component ApEn p=0.0002; HF-component ApEn p=0.002; total 24h ApEn p=0.199 (ns),0.0002,=,pfield,False,True
apen_sampen,"ApEn, SampEn, FuzzyEn, ShanEn",clinical,"Byun S, Kim AY, Jang EH, Kim S, Choi KW, Yu HY, Jeon HJ (2019). 'Entropy analysis of heart rate variability and its application to recognize major depressive disorder: A pilot study.' Technology and Health Care.",10.3233/THC-199037,2019,Major depressive disorder patients vs healthy controls (age/gender matched),N=33 MDD vs N=33 controls,33,"down (lower entropy trend in MDD across most task phases, not statistically significant overall)",-1,"not reported as Cohen's d; classifier accuracy 70%, sensitivity 64%, specificity 76% (SVM using recovery/relaxation-phase features)",70.0,accuracy_pct,"ApEn p=0.213; SampEn p=0.154; FuzzyEn p=0.382; ShanEn p=0.259 (group main effects, all ns); task effects p<0.001-0.010",0.213,range,pfield,True,True
apen_sampen,Sample Entropy (SampEn) of systolic/diastolic blood pressure and cardiac interval series,clinical,"Knight SP, Ward M, Newman L, Davis J, Duggan E, Kenny RA, Romero-Ortuno R (2022). 'Cardiovascular Signal Entropy Predicts All-Cause Mortality: Evidence from The Irish Longitudinal Study on Ageing (TILDA).' Entropy (Basel) 24(5):676.",10.3390/e24050676,2022,"Community-dwelling older adults (TILDA cohort), mean age 61.9, 54.1% female","N=4,543 (214 deaths over ~7yr follow-up)",4543,up (higher SampEn predicts higher all-cause mortality risk),1,Hazard ratio per 1SD increase: systolic BP SampEn HR=1.19; diastolic BP SampEn HR=1.17; systolic BP cardiac-interval SampEn HR=1.10,1.19,HR,p<=0.05 in fully adjusted models,0.05,=,pfield,True,True
apen_sampen,"ApEn (alongside fractal dimension, 1/f slope, Lyapunov exponent)",sports,"Aubert AE, Beckers F, Seps B (2002). 'Non-linear dynamics of heart rate variability in athletes: effect of training.' Computers in Cardiology 2002, p. 441.",10.1109/cic.2002.1166804,2002,"Young aerobic athletes vs sedentary controls, 10-min supine ECG",N=34 total (athletes + sedentary),34,differs from controls (abstract confirms a significant ApEn difference between aerobic athletes and sedentary controls; exact sign not recoverable from available abstract text),0,not reported in available abstract,,,not reported in available abstract,,,,False,False
apen_sampen,"ApEn(HR), SampEn(HR) (also applied to SpO2)",sports,"Cabanas AM, Fuentes-Guajardo M, Saez N, Catalan DD, Collao-Caiconte PO, Martin-Escudero P (2024). 'Exploring the Hidden Complexity: Entropy Analysis in Pulse Oximetry of Female Athletes.' Biosensors (Basel) 14(1):52.",10.3390/bios14010052,2024,"Active competitive female athletes, ages 13-55, >=2yr competition history",N=27,27,"up (higher fitness tier associated with somewhat higher ApEn/SampEn, though relationship nonlinear and individualized)",1,ApEn(HR): medium-fitness 0.57+/-0.13 vs excellent-fitness 0.60+/-0.09; SampEn(HR): medium-fitness 0.33+/-0.08 vs excellent-fitness 0.40+/-0.15,,,"not reported (descriptive statistics only, no formal inferential test presented)",,,,False,False
apen_sampen,"Multiscale entropy (MSE, built from SampEn across scales - not single-scale ApEn/SampEn)",sports,Ramirez-Campillo R et al. (2017). 'Assessment of Heart Rate Variability during an Endurance Mountain Trail Race by Multi-Scale Entropy Analysis.' Entropy (Basel) 19(12):658.,10.3390/e19120658,2017,"Endurance mountain-trail runners, 35km race",N=11,11,"down (entropy/complexity decreased with exercise load and fatigue during the race, tracking increased sympathetic / decreased parasympathetic markers)",-1,not reported as standardized effect size,,,not extracted from available abstract,,,,False,False
apen_sampen,Sample Entropy (SampEn),meditation,"An H, Kulkarni R, Nagarathna R, Nagendra HR (2010). 'Measures of heart rate variability in women following a meditation technique.' International Journal of Yoga 3(1):6-9.",not resolved (PMC2952123),2010,"Healthy women, mean age 25+/-3.4, cyclic-meditation practitioners at a yoga research institute",N=28,28,up (SampEn increased after cyclic meditation vs a marginal decrease in the supine-rest control condition),1,0.2 (small),,,"p=0.268 (not statistically significant); contrast with pNN50 p=0.007 and pNN30 p=0.003, which were significant",0.268,=,pfield,False,True
